spec,estimand,dropped_id,dropped_label,b,se,tau,N,clusters,full_b_tmp,full_b,delta,abs_delta
T3_col4_test,Overall,23,Kogan Lavertu Peskowitz(2017),.0338573527008707,.0069731548,.023597743,25,21,,.0323205506707452,.0015368020301255,.0015368020301255
T3_col4_test,Overall,100,Brunner Hyman Ju(2020) Lafortune Rothstein Schanzenbach(2018),.0322236268090402,.0068968944,.022419723,24,21,,.0323205506707452,-.000096923861705,.000096923861705
T3_col4_test,Overall,3,Baron(2022),.0318500526159301,.0063553387,.021934537,25,21,,.0323205506707452,-.0004704980548151,.0004704980548151
T3_col4_test,Overall,12,Clark(2003),.0343307546974667,.0069240993,.023803212,25,21,,.0323205506707452,.0020102040267215,.0020102040267215
T3_col4_test,Overall,98,Conlin Thompson(2017) Goncalves(2015),.0349645386671046,.0065616216,.0228638,24,21,,.0323205506707452,.0026439879963594,.0026439879963594
T3_col4_test,Overall,102,Martorell Stange McFarlin(2016),.0328680629282805,.0067878054,.022713244,25,21,,.0323205506707452,.0005475122575353,.0005475122575353
T3_col4_test,Overall,27,Lafortune Schonholzer(2022),.0313216010532701,.0066129495,.022144787,25,21,,.0323205506707452,-.0009989496174751,.0009989496174751
T3_col4_test,Overall,19,Jackson Wigger Xiong(2021),.0312005202255871,.0066338917,.022096215,25,21,,.0323205506707452,-.0011200304451581,.0011200304451581
T3_col4_test,Overall,0,full sample,.0323205506707452,.0063783512,.022071935,26,22,.0323205506707452,.0323205506707452,,
T3_col4_test,Overall,30,Miller(2018),.0305557409809016,.0065806457,.021541491,25,21,,.0323205506707452,-.0017648096898436,.0017648096898436
T3_col4_test,Overall,8,Carlson Lavertu(2018),.0311351083674542,.0063377814,.021782329,25,21,,.0323205506707452,-.001185442303291,.001185442303291
T3_col4_test,Overall,35,Rauscher(2020),.0331895465096849,.0066992259,.022617975,25,21,,.0323205506707452,.0008689958389397,.0008689958389397
T3_col4_test,Overall,5,Baron(2022),.0331217157820194,.0063648457,.021419127,25,21,,.0323205506707452,.0008011651112742,.0008011651112742
T3_col4_test,Overall,24,Kreisman Steinberg(2019),.0296310492706138,.0060431412,.020772874,25,21,,.0323205506707452,-.0026895014001314,.0026895014001314
T3_col4_test,Overall,17,Hong Zimmer(2016),.0312680353538018,.0063518696,.021850668,25,21,,.0323205506707452,-.0010525153169434,.0010525153169434
T3_col4_test,Overall,34,Rauscher(2020),.0350844117396498,.0064122556,.020988166,25,21,,.0323205506707452,.0027638610689046,.0027638610689046
T3_col4_test,Overall,14,Gigliotti Sorensen(2018),.0314135121480143,.0069010286,.022395644,25,21,,.0323205506707452,-.0009070385227309,.0009070385227309
T3_col4_test,Overall,37,Weinstein Stiefel Schwartz Chalico(2009),.0345983922407446,.006187405,.021320999,25,21,,.0323205506707452,.0022778415699994,.0022778415699994
T3_col4_test,Overall,1,Abott Kogan Lavertu Peskowitz(2020),.0313657328121127,.006330241,.021785112,25,21,,.0323205506707452,-.0009548178586325,.0009548178586325
T3_col4_test,Overall,99,Chaudhary(2009) Hyman(2017) Papke(2008) Roy(2011),.0313403128205409,.0062904349,.020858148,23,21,,.0323205506707452,-.0009802378502043,.0009802378502043
T3_col4_test,Overall,32,Neilson Zimmerman(2014),.0325075001448675,.0067592948,.022621416,25,21,,.0323205506707452,.0001869494741223,.0001869494741223
T3_col4_test,Overall,16,Guryan(2001),.0324428285852509,.0064635286,.022397006,25,21,,.0323205506707452,.0001222779145057,.0001222779145057
T3_col4_test,Overall,10,Cellini Ferreira Rothstein(2010),.0311342304126105,.0062623657,.021309644,25,21,,.0323205506707452,-.0011863202581346,.0011863202581346
T3_col5_atta,Overall,22,Jackson Johnson Persico(2016),.054546219093883,.0091341278,.025579365,22,10,,.0573329609524499,-.0027867418585669,.0027867418585669
