"","theta","g","SE.g","G","SE.G","Bias.g"
"63",3.2,0.0157089315765708,0.00970767769857312,0.648496491959085,0.0551600893803856,-0.0409521780865824
"64",3.3,0.0153753969150252,0.00899165935598913,0.66387188887411,0.06289211320208,-0.0378468256342585
"65",3.4,0.0150098235149862,0.00822051373885622,0.678881712389096,0.070164502420602,-0.0345073931801289
"66",3.5,0.0146184133803294,0.00741135603307858,0.693500125769426,0.0768263045520029,-0.0310048685147942
"67",3.6,0.0142071228306394,0.00658036999638583,0.707707248600065,0.082787918413507,-0.0274055363947178
"68",3.7,0.0137815833562359,0.00574262781852943,0.721488831956301,0.0879989204386605,-0.0237698160242045
"69",3.8,0.0133470418547208,0.00491208380347633,0.734835873811022,0.0924359349072074,-0.0201514682892929
"70",3.9,0.0129083191481753,0.00410183277651194,0.747744192959197,0.0960952947981352,-0.0165971422496234
"71",4,0.012469785220638,0.00332486889001435,0.760213978179835,0.0989881350948444,-0.0131462207747671
"72",4.1,0.012035349307919,0.00259601013006396,0.772249327487754,0.101136818284882,-0.00983091954290122
"73",4.2,0.0116084628014186,0.00193702827862955,0.783857790289173,0.102572158293692,-0.0066765914029782
"74",4.3,0.0111921328754884,0.0013912313563718,0.795049923164661,0.103331173965039,-0.00370218873181005
"75",4.4,0.010788944793006,0.0010562252564084,0.805838867957667,0.103455230883964,-0.000920839251323598
"76",4.5,0.0104010909648861,0.00105558122680665,0.816239958922553,0.10298849311389,0.0016595048198144
"77",4.6,0.0100304050158887,0.00132617946495363,0.826270363938442,0.101976637511711,0.00403537899617792
"78",4.7,0.00967839932297534,0.00169959694100765,0.835948763261417,0.100465798621344,0.00620710893692703
"79",4.8,0.00934630472788592,0.00208806350925903,0.845295067989303,0.0985017196445538,0.00817812581691196
"80",4.9,0.00903511136977482,0.00245926043581566,0.854330179359078,0.096129088693123,0.00995431161370505
"81",5,0.00874560982692945,0.00280128426612304,0.863075789186007,0.0933910415380966,0.0115433858545209
"82",5.1,0.00847797881474013,0.00311043508122686,0.871553768000747,0.0903282625647233,0.0129566327005059
"83",5.2,0.00823057105051364,0.00338814364340847,0.879784339051261,0.0869768540647958,0.0142140359691887
"84",5.3,0.00800146627758495,0.0036372348353184,0.887785805328846,0.0833683847605213,0.0153351999510458
"85",5.4,0.00778892849648017,0.00386066812180509,0.895574733825326,0.0795304792118688,0.0163371340728669
"86",5.5,0.00759138362586591,0.0040612781506002,0.903166117451192,0.075487326747649,0.0172346201773049
"87",5.6,0.00740740008024001,0.00424167715189956,0.910573517531432,0.0712601212050887,0.0180405241982359
"88",5.7,0.0072356718661432,0.0044042264907932,0.917809189397575,0.0668674412824938,0.0187660610385211
"89",5.8,0.00707500385964381,0.00455103858180363,0.924884193257219,0.0623255799737185,0.0194210199668367
"90",5.9,0.0069242989790532,0.00468399182864656,0.931808492236272,0.0576488303754735,0.0200139566236872
"91",6,0.00678254700989571,0.00480475049040558,0.938591039246168,0.0528497341348057,0.0205523567152284
"92",6.1,0.00664881487542045,0.00491478560668301,0.945239854121589,0.0479392979218858,0.0210427756381021
"93",6.2,0.00652223817650215,0.00501539514670976,0.951762092298091,0.0429271825569403,0.0214909575875864
"94",6.3,0.00640201385053868,0.00510772255743311,0.958164106148629,0.0378218687736503,0.0219019371294754
"95",6.4,0.00628739382065964,0.00519277339777065,0.964451499969289,0.0326308030492805,0.0222801257424674
"96",6.5,0.00617767952482967,0.00527143000693288,0.970629179494119,0.0273605264602701,0.022629385445629
"97",6.6,0.00607221722977195,0.00534446428496754,0.976701396723891,0.0220167891186009,0.0229530913009556
"98",6.7,0.0059703940474747,0.00541254872509558,0.982671790771365,0.016604652398116,0.0232541843129464
"99",6.8,0.00587163458272866,0.00547626586233739,0.988543425354094,0.0111285808616861,0.0235352160262439
"100",6.9,0.00577539814897163,0.00553611630873362,0.994318823503066,0.0055925255416171,0.023798385941162
"101",7,0.00568117649693444,0.00559252554161714,1,NA,0.0240455727190665
